CODE,MIN,MODE,MAX,COMMENTS
385860003,0.0,0.23,3.28,"G0502,H2017,H2018"
12894003,0.0,0.0,0.0,G0505
133891005,0.01,18.51,89.75,G0506
782271000000101,0.0,54.89,117.56,"G0508,G0509"
717193008,0.0,175.07,259.83,G6016
84755001,0.0,20.89,56.08,G6017
698459008,0.0,0.0,0.0,"G8126,G8127"
23745001,-0.01,-0.0,0.0,"G8434,G8440,G8939,G8942"
274798009,0.0,0.0,0.0,G8397
165320004,0.0,0.0,0.0,G8434
225399009,0.0,0.0,0.0,"G8440,G8939"
438486002,0.0,0.0,0.0,G9793
18629005,0.0,0.06,1.16,"G9839,G9845,H0033,T1502,T1503"
397544007,0.0,0.0,0.0,G8627
302497006,0.0,0.0,0.0,G8714
424753004,0.0,0.0,0.0,G8780
410289001,0.0,0.0,0.0,G8780
420052009,0.0,0.0,0.0,G8806
103750000,0.0,0.0,0.0,G8839
44236004,0.0,0.0,0.0,G8851
60554003,103.22,373.27,665.53,"95808,95810,95811"
308116003,0.0,0.0,0.0,G8935
714352002,-0.04,-0.0,0.0,G8942
122548005,0.0,0.0,0.0,G8946
410116006,0.0,0.0,0.0,G8955
449882002,0.0,0.0,0.0,"G8961,G8962,G8963,G8964,G8965,G8966"
229824005,0.0,0.0,0.0,"G8981,G8982,G8983"
386230005,0.0,0.2,2.44,"G9012,H0006,T1016,T1017"
306140002,0.0,0.0,0.0,G9050
815911000000106,0.0,16.68,133.47,G9147
737470001,0.0,0.0,0.0,"G9151,G9153"
225400002,0.0,0.0,0.0,G9156
424184006,0.0,0.0,0.0,G9156
281685003,0.0,0.0,0.0,G9480
210098006,0.0,0.0,0.0,G9481
416608005,0.0,0.0,0.0,G9503
68322007,0.0,0.0,0.0,G9505
127785005,0.0,0.0,0.0,G9506
713132000,0.0,0.0,0.0,G9518
252886007,0.0,0.0,0.0,"G9519,G9520"
303653007,0.0,0.0,0.0,G9530
441986001,0.0,0.0,0.0,G9537
284101009,0.0,0.0,0.0,G9541
281789004,0.0,0.0,0.0,"G9558,G9701,G9703,G9712"
726582005,0.0,0.0,0.0,"G9561,G9577,G9578,G9583"
715252007,0.0,0.0,0.0,G9573
302325008,0.0,0.0,0.0,G9595
405525004,0.0,0.0,0.0,"G9600,M0301"
24139008,0.0,0.0,0.0,G9606
6019008,0.0,0.0,0.0,G9612
519701000000105,0.0,0.0,0.0,G9615
2344008,0.0,0.0,0.0,G9625
709503007,0.0,0.0,0.0,G9634
233505002,0.0,0.0,0.0,G9641
866331000000105,0.0,0.0,0.0,"G9649,G9651"
715036001,0.0,0.0,0.0,G9765
851000119109,0.0,0.0,0.0,G9660
892571000000101,0.0,79.66,164.57,G9678
118806004,0.0,0.0,0.0,G9689
6011000175109,0.0,0.0,0.0,"G9696,G9697,G9698"
