CODE,MIN,MODE,MAX,COMMENTS
476349,0.0,128.35,221.28,ezetimibe 10 MG / simvastatin 20 MG Oral Tablet
476350,0.0,154.81,268.13,ezetimibe 10 MG / simvastatin 40 MG Oral Tablet
476351,0.0,128.0,219.12,ezetimibe 10 MG / simvastatin 80 MG Oral Tablet
476556,0.0,305.84,572.18,emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet
616830,150.38,300.76,601.52,budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort]
617310,0.0,11.68,20.56,atorvastatin 20 MG Oral Tablet
617311,0.0,13.68,24.29,atorvastatin 40 MG Oral Tablet
617312,0.0,10.58,19.74,atorvastatin 10 MG Oral Tablet
617314,436.51,873.03,1746.06,atorvastatin 10 MG Oral Tablet [Lipitor]
617320,1205.63,1245.72,1285.81,atorvastatin 40 MG Oral Tablet [Lipitor]
630208,0.0,14.31,20.11,albuterol 0.83 MG/ML Inhalation Solution
636042,35.96,61.43,106.26,hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet
636045,43.89,64.5,102.53,hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet
643066,545.46,946.98,1176.83,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet
664741,469.68,574.99,708.94,atazanavir 300 MG Oral Capsule
686924,0.0,8.58,31.87,carvedilol 3.125 MG Oral Tablet
745752,44.98,89.97,179.94,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir]
745791,35.15,70.3,140.6,200 ACTUAT levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler
746466,52.92,105.84,211.68,200 ACTUAT levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler [Xopenex]
746763,52.47,104.94,209.88,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil]
746804,245.53,491.06,982.12,120 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex]
746811,50.61,101.22,202.44,14 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex]
746815,192.33,384.66,769.32,60 ACTUAT mometasone furoate 0.22 MG/ACTUAT Dry Powder Inhaler [Asmanex]
749196,0.0,35.6,93.01,clopidogrel 300 MG Oral Tablet
